,kinder_1,kinder_2,kinder_3,kinder_4,kinder_5,kinder_6,kinder_7,kinder_8,kinder_9,home_1,home_2,home_3,home_4,school_1,school_2,work_1
flooring,103.2,0,0,103.2,0,0,103.2,0,0,101.7,0,101.7,0,0,0,0
tile,0,103.2,0,0,103.2,0,0,103.2,0,0,0,0,0,66,0,85
floor,0,0,103.2,0,0,103.2,0,0,103.2,0,101.7,0,101.7,0,66,0
wallpaper,361.2,361.2,361.2,0,0,0,0,0,0,,355.95,355.95,,0,0,0
pvc wallpaper,0,0,0,361.2,361.2,361.2,0,0,0,355.95,0,0,355.95,0,0,0
paint,0,0,0,0,0,0,361.2,361.2,361.2,0,0,0,0,231,231,297.5
