,DEHP,DInP,TCEP,TCPP,TDCPP,DINCH,DnBP,DEP
시나리오0,2.333730640626128,0.052787772408033694,4.948649987225144,1513.0479816792674,21451.290847044682,0.0,0.0,0.0
시나리오1,2.333730640626128,0.052787772408033694,22.304441569215715,7365.10128648109,14753.061689271835,0.0,0.0,0.0
시나리오2,0.0020310679345486964,0.00042030381418162524,0.0,0.0,0.0,0.0,0.0,0.0
시나리오3,7.747910744097358,0.18180034455533525,11.06884603184298,3293.691666106692,64860.40994747764,0.0,0.0,0.0
시나리오4,2.333730640626128,0.052787772408033694,22.304441569215715,7365.10128648109,14753.061689271835,0.0,0.0,0.0
시나리오5,0.0020310679345486964,0.00042030381418162524,0.0,0.0,0.0,0.0,0.0,0.0
시나리오6,2.333730640626128,0.052787772408033694,4.948649987225144,1513.0479816792674,21451.290847044682,0.0,7.85050421664675e-08,4.494523556792138e-12
시나리오7,2.333730640626128,0.052787772408033694,22.304441569215715,7365.10128648109,14753.061689271835,0.0,7.85050421664675e-08,4.494523556792138e-12
시나리오8,0.0020310679345486964,0.00042030381418162524,0.0,0.0,0.0,0.0,7.85050421664675e-08,4.494523556792138e-12
시나리오9,2.4288576981668304,0.05497427892601187,5.10691146589632,1560.326456486341,22287.30322589994,0.0,0.0,0.0
시나리오10,0.0021138579159267748,0.0004377130926436077,0.0,0.0,0.0,0.0,0.0,0.0
시나리오11,2.4288576981668304,0.05497427892601187,5.10691146589632,1560.326456486341,22287.30322589994,0.0,0.0,0.0
시나리오12,0.0021138579159267748,0.0004377130926436077,0.0,0.0,0.0,0.0,0.0,0.0
시나리오13,0.002031067934548696,0.00042030381418162524,0.0,0.0,0.0,0.0,7.850504216646747e-08,4.494523556792137e-12
시나리오14,2.333730640626128,0.05278777240803369,22.30444156921572,7365.101286481091,14753.061689271834,0.0,7.850504216646747e-08,4.494523556792137e-12
시나리오15,2.333647588174611,0.052785864646595244,22.303813494650075,7364.898504228363,14752.558840106727,0.0,7.8506335226397e-08,4.4946163428751586e-12
