,exp,cdf,chemi
0,0.0,0.0,000117-81-7
1,0.0022480219292654534,4.782629489693433e-05,000117-81-7
2,0.0030677955092179333,9.565258979386866e-05,000117-81-7
3,0.0034433816783337075,0.000143478884690803,000117-81-7
4,0.003750461110257833,0.00019130517958773733,000117-81-7
5,0.003969722032296768,0.00023913147448467167,000117-81-7
6,0.0041078752617376285,0.000286957769381606,000117-81-7
7,0.004215318268347384,0.00033478406427854036,000117-81-7
8,0.004315476114579855,0.00038261035917547465,000117-81-7
9,0.004421528887837136,0.000430436654072409,000117-81-7
10,0.004507525784244889,0.00047826294896934334,000117-81-7
11,0.0045800883247758915,0.0005260892438662776,000117-81-7
12,0.004653813036138637,0.000573915538763212,000117-81-7
13,0.004724708689989109,0.0006217418336601463,000117-81-7
14,0.004795051077621047,0.0006695681285570807,000117-81-7
15,0.004876978725530252,0.000717394423454015,000117-81-7
16,0.004944930163838867,0.0007652207183509493,000117-81-7
17,0.005015988130654232,0.0008130470132478837,000117-81-7
18,0.005080434906615935,0.000860873308144818,000117-81-7
19,0.005145540211870374,0.0009086996030417524,000117-81-7
20,0.005201885623276531,0.0009565258979386867,000117-81-7
21,0.005267582872707571,0.001004352192835621,000117-81-7
22,0.005330082046597179,0.0010521784877325553,000117-81-7
23,0.005389917153117976,0.0011000047826294898,000117-81-7
24,0.005454173068020465,0.001147831077526424,000117-81-7
25,0.005514305292122005,0.0011956573724233584,000117-81-7
26,0.005576845873026613,0.0012434836673202926,000117-81-7
27,0.005639530118311492,0.001291309962217227,000117-81-7
28,0.0056959083164642,0.0013391362571141614,000117-81-7
29,0.005748807274780848,0.0013869625520110957,000117-81-7
30,0.005811302215423026,0.00143478884690803,000117-81-7
31,0.00586762429697654,0.0014826151418049643,000117-81-7
32,0.005924696719478551,0.0015304414367018986,000117-81-7
33,0.005971167290817291,0.0015782677315988331,000117-81-7
34,0.006026742815945119,0.0016260940264957674,000117-81-7
35,0.0060835793629124505,0.0016739203213927017,000117-81-7
36,0.006144933673562412,0.001721746616289636,000117-81-7
37,0.006209434480369418,0.0017695729111865703,000117-81-7
38,0.006269906877357443,0.0018173992060835048,000117-81-7
39,0.006330400759178939,0.001865225500980439,000117-81-7
40,0.006383672673209971,0.0019130517958773734,000117-81-7
41,0.0064439436473056055,0.001960878090774308,000117-81-7
42,0.006504374407801118,0.002008704385671242,000117-81-7
43,0.006571158120498811,0.0020565306805681765,000117-81-7
44,0.006640661894446247,0.0021043569754651105,000117-81-7
45,0.006710736346175829,0.002152183270362045,000117-81-7
46,0.006775645189411692,0.0022000095652589795,000117-81-7
47,0.006829925961600393,0.0022478358601559136,000117-81-7
48,0.006897407207955757,0.002295662155052848,000117-81-7
49,0.00696231522176653,0.002343488449949782,000117-81-7
50,0.00702259262448961,0.0023913147448467167,000117-81-7
51,0.007086777379213759,0.0024391410397436512,000117-81-7
52,0.007150647983120249,0.0024869673346405853,000117-81-7
53,0.007217226854654515,0.00253479362953752,000117-81-7
54,0.007286663784556121,0.002582619924434454,000117-81-7
55,0.007357171697431617,0.0026304462193313884,000117-81-7
56,0.007427095634336555,0.002678272514228323,000117-81-7
57,0.0075027133757235125,0.002726098809125257,000117-81-7
58,0.007564852569765513,0.0027739251040221915,000117-81-7
59,0.007641448976156195,0.0028217513989191255,000117-81-7
60,0.007718711015023052,0.00286957769381606,000117-81-7
61,0.007789132109878913,0.0029174039887129946,000117-81-7
62,0.007850526825886297,0.0029652302836099286,000117-81-7
63,0.00791908803947001,0.003013056578506863,000117-81-7
64,0.007994798922042435,0.003060882873403797,000117-81-7
65,0.008063424379511195,0.0031087091683007317,000117-81-7
66,0.008129002368592153,0.0031565354631976662,000117-81-7
67,0.008193179209202886,0.0032043617580946003,000117-81-7
68,0.008256152987824988,0.003252188052991535,000117-81-7
69,0.008312302431647283,0.003300014347888469,000117-81-7
70,0.008376779161810186,0.0033478406427854034,000117-81-7
71,0.008431795070131658,0.003395666937682338,000117-81-7
72,0.008500339507604551,0.003443493232579272,000117-81-7
73,0.008556670216290793,0.0034913195274762065,000117-81-7
74,0.008616009770804756,0.0035391458223731406,000117-81-7
75,0.008667824737462405,0.003586972117270075,000117-81-7
76,0.00871486547264899,0.0036347984121670096,000117-81-7
77,0.00876551228358401,0.0036826247070639436,000117-81-7
78,0.008815406164853143,0.003730451001960878,000117-81-7
79,0.008865485902847171,0.0037782772968578122,000117-81-7
80,0.008912906526254804,0.0038261035917547467,000117-81-7
81,0.008962416978807198,0.0038739298866516812,000117-81-7
