,exposure,chemi
239,0.0,000117-81-7
240,0.0,000117-81-7
241,0.0,000117-81-7
242,0.0,000117-81-7
243,0.0,000117-81-7
244,0.0,000117-81-7
245,0.0,000117-81-7
246,0.0,000117-81-7
247,0.0,000117-81-7
248,0.0,000117-81-7
249,0.0,000117-81-7
250,0.0,000117-81-7
251,0.0,000117-81-7
252,0.0,000117-81-7
253,0.0,000117-81-7
254,0.0,000117-81-7
255,0.0,000117-81-7
256,0.0,000117-81-7
257,0.0,000117-81-7
258,0.0,000117-81-7
259,0.0,000117-81-7
260,0.0,000117-81-7
261,0.0,000117-81-7
262,0.0,000117-81-7
263,0.0,000117-81-7
264,0.0,000117-81-7
265,0.0,000117-81-7
266,0.0,000117-81-7
267,0.0,000117-81-7
268,0.0,000117-81-7
269,0.0,000117-81-7
270,0.0,000117-81-7
271,0.0,000117-81-7
272,0.0,000117-81-7
273,0.0,000117-81-7
274,0.0,000117-81-7
275,0.0,000117-81-7
276,0.0,000117-81-7
277,0.0,000117-81-7
278,0.0,000117-81-7
279,0.0,000117-81-7
280,0.0,000117-81-7
281,0.0,000117-81-7
282,0.0,000117-81-7
283,0.0,000117-81-7
284,0.0,000117-81-7
285,0.0,000117-81-7
286,0.0,000117-81-7
287,0.0,000117-81-7
288,0.0,000117-81-7
289,0.0,000117-81-7
290,0.0,000117-81-7
291,0.0,000117-81-7
292,0.0,000117-81-7
293,0.0,000117-81-7
294,0.0,000117-81-7
295,0.0,000117-81-7
296,0.0,000117-81-7
297,0.0,000117-81-7
298,0.0,000117-81-7
299,0.0,000117-81-7
300,0.0,000117-81-7
301,0.0,000117-81-7
302,0.0,000117-81-7
303,0.0,000117-81-7
304,0.0,000117-81-7
305,0.0,000117-81-7
306,0.0,000117-81-7
307,0.0,000117-81-7
308,0.0,000117-81-7
309,0.0,000117-81-7
310,0.0,000117-81-7
311,0.0,000117-81-7
312,1.8236317021276597e-06,000117-81-7
313,0.0,000117-81-7
314,0.0,000117-81-7
315,0.0,000117-81-7
