,000117-81-7,028553-12-0,000115-96-8,013674-84-5,013674-87-8,166412-78-8,000084-74-2,000084-66-2
강화마루,1,1,1,1,1,1,1,1
PVC tile,1,1,1,1,1,1,1,1
PVC floor,1,1,1,1,1,1,1,1
종이벽지,1,1,1,1,1,1,1,1
실크벽지,1,1,1,1,1,1,1,1
paint,1,1,1,1,1,1,1,1
