,exp,cdf
0,0.0,0.0
1,0.3852434045890897,4.782629489693433e-05
2,0.5638336347146593,9.565258979386866e-05
3,0.6854215954662408,0.000143478884690803
4,0.7534906308496002,0.00019130517958773733
5,0.8167727704310224,0.00023913147448467167
6,0.8696763236486867,0.000286957769381606
7,0.9138717237654486,0.00033478406427854036
8,0.9540091634652123,0.00038261035917547465
9,0.9934571192561548,0.000430436654072409
10,1.0322164253769073,0.00047826294896934334
11,1.0657266015330635,0.0005260892438662776
12,1.0935478606491484,0.000573915538763212
13,1.1220112599374423,0.0006217418336601463
14,1.1455780966758398,0.0006695681285570807
15,1.1727833815912203,0.000717394423454015
16,1.1928435072019665,0.0007652207183509493
17,1.2123526006554115,0.0008130470132478837
18,1.2332953531710347,0.000860873308144818
19,1.2529389334634438,0.0009086996030417524
20,1.2736947642566534,0.0009565258979386867
21,1.291176863144296,0.001004352192835621
22,1.3075824555714592,0.0010521784877325553
23,1.3246670383781183,0.0011000047826294898
24,1.3416406521457103,0.001147831077526424
25,1.3561257494874495,0.0011956573724233584
26,1.3716082307564799,0.0012434836673202926
27,1.3871739300374608,0.001291309962217227
28,1.4032676703981986,0.0013391362571141614
29,1.4174971510113337,0.0013869625520110957
30,1.4320639043357895,0.00143478884690803
31,1.44576917529559,0.0014826151418049643
32,1.4587348237490767,0.0015304414367018986
33,1.4727690950699637,0.0015782677315988331
34,1.4849542731219743,0.0016260940264957674
35,1.4967691204861089,0.0016739203213927017
36,1.5120973022844497,0.001721746616289636
37,1.5236725773601707,0.0017695729111865703
38,1.535645239533872,0.0018173992060835048
39,1.5471681475239933,0.001865225500980439
40,1.559311793837405,0.0019130517958773734
41,1.570358058439386,0.001960878090774308
42,1.5790664038714266,0.002008704385671242
43,1.5898366515449087,0.0020565306805681765
44,1.601141760323973,0.0021043569754651105
45,1.6117214277727046,0.002152183270362045
46,1.6202564915992148,0.0022000095652589795
47,1.6308602200436124,0.0022478358601559136
48,1.6385156703392219,0.002295662155052848
49,1.6492443621420858,0.002343488449949782
50,1.6596708629691959,0.0023913147448467167
51,1.6688266874477535,0.0024391410397436512
52,1.6784141735876537,0.0024869673346405853
53,1.6881774116172616,0.00253479362953752
54,1.6972081928241542,0.002582619924434454
55,1.7056268746804912,0.0026304462193313884
56,1.713531541056887,0.002678272514228323
57,1.7224749552393737,0.002726098809125257
58,1.7301807899889983,0.0027739251040221915
59,1.7385189236104994,0.0028217513989191255
60,1.746961938088724,0.00286957769381606
61,1.7557046366433133,0.0029174039887129946
62,1.7639254968192273,0.0029652302836099286
63,1.7729568042553538,0.003013056578506863
64,1.7803850176699934,0.003060882873403797
65,1.7876275666529557,0.0031087091683007317
66,1.7957256230859908,0.0031565354631976662
67,1.8026317843441606,0.0032043617580946003
68,1.8107327924712717,0.003252188052991535
69,1.8178465103637753,0.003300014347888469
70,1.8256172470151002,0.0033478406427854034
71,1.8324817419845405,0.003395666937682338
72,1.8400488402755215,0.003443493232579272
73,1.8486260793996792,0.0034913195274762065
74,1.857036463179212,0.0035391458223731406
75,1.8638088949142828,0.003586972117270075
76,1.8707603430683364,0.0036347984121670096
77,1.8775067294082353,0.0036826247070639436
78,1.8856133605180283,0.003730451001960878
79,1.892559810220541,0.0037782772968578122
80,1.8997269407746946,0.0038261035917547467
81,1.9071001294990877,0.0038739298866516812
82,1.913923090319163,0.003921756181548616
83,1.9211002189593485,0.00396958247644555
84,1.9271505588772249,0.004017408771342484
85,1.9332442824258314,0.004065235066239419
86,1.9396005871401507,0.004113061361136353
87,1.9470327853086185,0.004160887656033287
88,1.953331171598414,0.004208713950930221
89,1.9601705682825032,0.004256540245827156
90,1.9655047074848846,0.00430436654072409
91,1.9714352443945822,0.004352192835621024
92,1.9767799399485124,0.004400019130517959
93,1.983291847870439,0.004447845425414893
94,1.989061202645204,0.004495671720311827
95,1.995883937301124,0.004543498015208762
96,2.0019690891179263,0.004591324310105696
97,2.008065478314243,0.00463915060500263
98,2.0140633717123593,0.004686976899899564
99,2.0212249269349303,0.004734803194796499
100,2.0278365286400795,0.004782629489693433
101,2.0328988727350876,0.0048304557845903675
102,2.038901722715975,0.0048782820794873024
103,2.044013122087768,0.0049261083743842365
104,2.049200402514716,0.004973934669281171
105,2.0545101254974303,0.0050217609641781055
106,2.0602467530894315,0.00506958725907504
107,2.0658168964440033,0.005117413553971974
108,2.0718551859463825,0.005165239848868908
109,2.0772785114297707,0.005213066143765843
110,2.0819713372974626,0.005260892438662777
111,2.0882701978270073,0.005308718733559711
112,2.093563178060491,0.005356545028456646
113,2.098849007139229,0.00540437132335358
114,2.103802763747316,0.005452197618250514
115,2.1085880368300467,0.005500023913147449
116,2.1138639524036593,0.005547850208044383
117,2.119173549237284,0.005595676502941317
118,2.1249629031401627,0.005643502797838251
119,2.1296806776054136,0.005691329092735186
120,2.134855763285179,0.00573915538763212
121,2.1404777901155723,0.005786981682529054
122,2.1458716757873493,0.005834807977425989
123,2.1519437258255905,0.005882634272322923
124,2.1567634877365065,0.005930460567219857
125,2.161991625291847,0.005978286862116792
126,2.16703896900679,0.006026113157013726
127,2.1720012233773995,0.00607393945191066
128,2.1762481826719084,0.006121765746807594
129,2.1808798331116286,0.006169592041704529
130,2.1855996947653122,0.0062174183366014634
131,2.190736294193162,0.0062652446314983975
132,2.1956097487905923,0.0063130709263953325
133,2.1998532828015827,0.0063608972212922665
134,2.2052775511958616,0.006408723516189201
135,2.209967957493022,0.0064565498110861355
136,2.2142310404524923,0.00650437610598307
137,2.2188098823106914,0.006552202400880004
